"SO","Rank","Freq","cumFreq","Zone"
"JOURNAL OF ETHNOPHARMACOLOGY",1,264,264,"Zone 1"
"FRONTIERS IN PHARMACOLOGY",2,110,374,"Zone 1"
"EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE",3,96,470,"Zone 1"
"PHYTOTHERAPY RESEARCH",4,78,548,"Zone 1"
"PHYTOMEDICINE",5,77,625,"Zone 1"
"MOLECULES",6,71,696,"Zone 1"
"XENOBIOTICA",7,60,756,"Zone 1"
"CURRENT DRUG METABOLISM",8,58,814,"Zone 1"
"LATIN AMERICAN JOURNAL OF PHARMACY",9,51,865,"Zone 1"
"DRUG METABOLISM AND DISPOSITION",10,48,913,"Zone 1"
"PLANTA MEDICA",11,46,959,"Zone 1"
"PHARMACEUTICAL BIOLOGY",12,44,1003,"Zone 1"
"JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS",13,34,1037,"Zone 1"
"FOOD AND CHEMICAL TOXICOLOGY",14,33,1070,"Zone 2"
"BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE",15,32,1102,"Zone 2"
"CHEMICO-BIOLOGICAL INTERACTIONS",16,32,1134,"Zone 2"
"BIOMEDICAL CHROMATOGRAPHY",17,27,1161,"Zone 2"
"PLOS ONE",18,27,1188,"Zone 2"
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES",19,26,1214,"Zone 2"
"EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS",20,25,1239,"Zone 2"
"JOURNAL OF PHARMACY AND PHARMACOLOGY",21,25,1264,"Zone 2"
"BIOMEDICINE & PHARMACOTHERAPY",22,24,1288,"Zone 2"
"JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES",23,23,1311,"Zone 2"
"FITOTERAPIA",24,22,1333,"Zone 2"
"BMC COMPLEMENTARY MEDICINE AND THERAPIES",25,20,1353,"Zone 2"
"BRITISH JOURNAL OF CLINICAL PHARMACOLOGY",26,20,1373,"Zone 2"
"SCIENTIFIC REPORTS",27,20,1393,"Zone 2"
"CHINESE JOURNAL OF INTEGRATIVE MEDICINE",28,19,1412,"Zone 2"
"LIFE SCIENCES",29,19,1431,"Zone 2"
"ACTA PHARMACOLOGICA SINICA",30,18,1449,"Zone 2"
"AMERICAN JOURNAL OF CHINESE MEDICINE",31,18,1467,"Zone 2"
"PHARMACOGNOSY MAGAZINE",32,18,1485,"Zone 2"
"BIOMED RESEARCH INTERNATIONAL",33,17,1502,"Zone 2"
"DRUG DESIGN DEVELOPMENT AND THERAPY",34,16,1518,"Zone 2"
"ARCHIVES OF PHARMACAL RESEARCH",35,15,1533,"Zone 2"
"DRUG METABOLISM AND PHARMACOKINETICS",36,15,1548,"Zone 2"
"PHARMACEUTICS",37,15,1563,"Zone 2"
"EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY",38,14,1577,"Zone 2"
"JOURNAL OF FOOD AND DRUG ANALYSIS",39,14,1591,"Zone 2"
"PHARMACEUTICALS",40,14,1605,"Zone 2"
"BIOLOGICAL & PHARMACEUTICAL BULLETIN",41,13,1618,"Zone 2"
"BIOPHARMACEUTICS & DRUG DISPOSITION",42,13,1631,"Zone 2"
"INTEGRATIVE CANCER THERAPIES",43,13,1644,"Zone 2"
"CHINESE JOURNAL OF NATURAL MEDICINES",44,12,1656,"Zone 2"
"CHINESE MEDICINE",45,12,1668,"Zone 2"
"EXPERIMENTAL AND THERAPEUTIC MEDICINE",46,12,1680,"Zone 2"
"EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY",47,12,1692,"Zone 2"
"DRUG METABOLISM REVIEWS",48,11,1703,"Zone 2"
"MEDICINE",49,11,1714,"Zone 2"
"CHEMICAL RESEARCH IN TOXICOLOGY",50,10,1724,"Zone 2"
"CHINESE HERBAL MEDICINES",51,10,1734,"Zone 2"
"CURRENT MEDICINAL CHEMISTRY",52,10,1744,"Zone 2"
"EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE",53,10,1754,"Zone 2"
"PHARMACOLOGICAL RESEARCH",54,10,1764,"Zone 2"
"PHARMAZIE",55,10,1774,"Zone 2"
"CURRENT PHARMACEUTICAL DESIGN",56,9,1783,"Zone 2"
"HELIYON",57,9,1792,"Zone 2"
"INTERNATIONAL JOURNAL OF PHARMACOLOGY",58,9,1801,"Zone 2"
"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY",59,9,1810,"Zone 2"
"JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS",60,9,1819,"Zone 2"
"JOURNAL OF INTEGRATIVE MEDICINE-JIM",61,9,1828,"Zone 2"
"JOURNAL OF SEPARATION SCIENCE",62,9,1837,"Zone 2"
"RSC ADVANCES",63,9,1846,"Zone 2"
"TOXICOLOGY LETTERS",64,9,1855,"Zone 2"
"ACS OMEGA",65,8,1863,"Zone 2"
"BMC GENOMICS",66,8,1871,"Zone 2"
"BOLETIN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMATICAS",67,8,1879,"Zone 2"
"COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING",68,8,1887,"Zone 2"
"COMPLEMENTARY THERAPIES IN MEDICINE",69,8,1895,"Zone 2"
"INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES",70,8,1903,"Zone 2"
"JOURNAL OF TRADITIONAL CHINESE MEDICINE",71,8,1911,"Zone 2"
"NATURAL PRODUCT COMMUNICATIONS",72,8,1919,"Zone 2"
"REVISTA BRASILEIRA DE FARMACOGNOSIA-BRAZILIAN JOURNAL OF PHARMACOGNOSY",73,8,1927,"Zone 2"
"SAUDI PHARMACEUTICAL JOURNAL",74,8,1935,"Zone 2"
"ACTA PHARMACEUTICA SINICA B",75,7,1942,"Zone 2"
"ARABIAN JOURNAL OF CHEMISTRY",76,7,1949,"Zone 2"
"BIOCHEMICAL PHARMACOLOGY",77,7,1956,"Zone 2"
"EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES",78,7,1963,"Zone 2"
"EUROPEAN JOURNAL OF PHARMACOLOGY",79,7,1970,"Zone 2"
"JOURNAL OF DIETARY SUPPLEMENTS",80,7,1977,"Zone 2"
"JOURNAL OF HERBAL MEDICINE",81,7,1984,"Zone 2"
"MOLECULAR NUTRITION & FOOD RESEARCH",82,7,1991,"Zone 2"
"ONCOLOGY LETTERS",83,7,1998,"Zone 2"
"SUPPORTIVE CARE IN CANCER",84,7,2005,"Zone 2"
"TOXICOLOGY AND APPLIED PHARMACOLOGY",85,7,2012,"Zone 2"
"ANNALS OF PHARMACOTHERAPY",86,6,2018,"Zone 2"
"COMPLEMENTARY THERAPIES IN CLINICAL PRACTICE",87,6,2024,"Zone 2"
"JOURNAL OF CLINICAL PHARMACOLOGY",88,6,2030,"Zone 2"
"MEDICAL SCIENCE MONITOR",89,6,2036,"Zone 2"
"NUTRIENTS",90,6,2042,"Zone 2"
"PHARMACOGNOSY RESEARCH",91,6,2048,"Zone 2"
"TOXICOLOGICAL SCIENCES",92,6,2054,"Zone 2"
"AFRICAN JOURNAL OF TRADITIONAL COMPLEMENTARY AND ALTERNATIVE MEDICINES",93,5,2059,"Zone 2"
